Running in CPU mode	
Epoch 1.96 / 50, i = 342 / 17800, loss = 1.867728	
Epoch 1.96 / 50, i = 343 / 17800, loss = 1.857919	
Epoch 1.97 / 50, i = 344 / 17800, loss = 1.947455	
Epoch 1.97 / 50, i = 345 / 17800, loss = 1.869496	
Epoch 1.97 / 50, i = 346 / 17800, loss = 1.973282	
Epoch 1.97 / 50, i = 347 / 17800, loss = 1.864203	
Epoch 1.98 / 50, i = 348 / 17800, loss = 1.899826	
Epoch 1.98 / 50, i = 349 / 17800, loss = 1.866574	
Epoch 1.98 / 50, i = 350 / 17800, loss = 1.867056	
Epoch 1.99 / 50, i = 351 / 17800, loss = 1.897682	
Epoch 1.99 / 50, i = 352 / 17800, loss = 1.865324	
Epoch 1.99 / 50, i = 353 / 17800, loss = 1.869659	
Epoch 1.99 / 50, i = 354 / 17800, loss = 1.910255	
Epoch 2.00 / 50, i = 355 / 17800, loss = 1.878411	
Epoch 2.00 / 50, i = 356 / 17800, loss = 1.917163	
Epoch 2.00 / 50, i = 357 / 17800, loss = 1.962141	
Epoch 2.01 / 50, i = 358 / 17800, loss = 1.842603	
Epoch 2.01 / 50, i = 359 / 17800, loss = 1.865967	
Epoch 2.01 / 50, i = 360 / 17800, loss = 1.843920	
Epoch 2.01 / 50, i = 361 / 17800, loss = 1.900414	
Epoch 2.02 / 50, i = 362 / 17800, loss = 1.861165	
Epoch 2.02 / 50, i = 363 / 17800, loss = 1.885445	
Epoch 2.02 / 50, i = 364 / 17800, loss = 1.827868	
Epoch 2.03 / 50, i = 365 / 17800, loss = 1.878455	
Epoch 2.03 / 50, i = 366 / 17800, loss = 1.866419	
Epoch 2.03 / 50, i = 367 / 17800, loss = 1.841339	
Epoch 2.03 / 50, i = 368 / 17800, loss = 1.838496	
Epoch 2.04 / 50, i = 369 / 17800, loss = 1.823535	
Epoch 2.04 / 50, i = 370 / 17800, loss = 1.878423	
Epoch 2.04 / 50, i = 371 / 17800, loss = 1.911361	
Epoch 2.04 / 50, i = 372 / 17800, loss = 1.917239	
Epoch 2.05 / 50, i = 373 / 17800, loss = 1.880208	
Epoch 2.05 / 50, i = 374 / 17800, loss = 1.857355	
Epoch 2.05 / 50, i = 375 / 17800, loss = 1.862150	
Epoch 2.06 / 50, i = 376 / 17800, loss = 1.845114	
Epoch 2.06 / 50, i = 377 / 17800, loss = 1.835651	
Epoch 2.06 / 50, i = 378 / 17800, loss = 1.847964	
Epoch 2.06 / 50, i = 379 / 17800, loss = 1.800977	
Epoch 2.07 / 50, i = 380 / 17800, loss = 1.808003	
Epoch 2.07 / 50, i = 381 / 17800, loss = 1.867830	
Epoch 2.07 / 50, i = 382 / 17800, loss = 1.830204	
Epoch 2.08 / 50, i = 383 / 17800, loss = 1.787733	
Epoch 2.08 / 50, i = 384 / 17800, loss = 1.811275	
Epoch 2.08 / 50, i = 385 / 17800, loss = 1.818966	
Epoch 2.08 / 50, i = 386 / 17800, loss = 1.834758	
Epoch 2.09 / 50, i = 387 / 17800, loss = 1.876735	
Epoch 2.09 / 50, i = 388 / 17800, loss = 1.868042	
Epoch 2.09 / 50, i = 389 / 17800, loss = 1.830613	
Epoch 2.10 / 50, i = 390 / 17800, loss = 1.838125	
Epoch 2.10 / 50, i = 391 / 17800, loss = 1.807138	
